Date,Open,High,Low,Close,Volume
2025-08-18,150.94,152.72,149.07,150.84,45899289
2025-08-19,150.72,152.37,146.6,148.23,30240456
2025-08-20,148.33,152.44,146.11,150.18,85449961
2025-08-21,149.93,153.36,149.22,152.64,30994788
2025-08-22,152.86,155.25,145.33,147.64,63201501
2025-08-25,148.09,149.12,143.42,144.43,89585074
2025-08-26,144.5,147.13,142.17,144.8,64668561
2025-08-27,144.96,145.56,143.48,144.08,65078330
2025-08-28,144.11,144.87,143.33,144.1,53290493
2025-08-29,144.1,146.56,139.64,142.07,37614598
2025-09-01,141.76,145.15,140.87,144.25,64361509
2025-09-02,144.38,147.89,142.73,146.21,83838131
2025-09-03,146.17,147.47,145.14,146.44,35466171
2025-09-04,147.35,150.36,146.31,149.3,54902791
2025-09-05,150.0,153.12,147.44,150.55,62172024
2025-09-08,150.72,152.04,147.11,148.41,39924292
2025-09-09,148.07,150.57,146.91,149.4,67307521
2025-09-10,148.9,150.88,145.06,147.02,40941185
2025-09-11,147.55,152.94,143.92,149.28,46391231
2025-09-12,149.39,150.9,147.7,149.21,73296731
2025-09-15,149.42,152.14,146.09,148.8,33031181
2025-09-16,148.02,149.57,145.6,147.14,56830893
2025-09-17,147.55,151.04,146.77,150.25,65674056
2025-09-18,150.46,151.15,149.23,149.92,37921716
2025-09-19,149.42,150.21,148.1,148.89,47685311
2025-09-22,148.68,149.34,147.4,148.06,50610095
2025-09-23,148.17,150.18,147.46,149.45,69817262
2025-09-24,149.48,152.26,147.67,150.44,88602540
2025-09-25,150.31,152.98,148.9,151.56,80174710
2025-09-26,151.51,154.1,150.15,152.73,41385945
2025-09-29,152.61,159.37,151.63,158.35,31089632
2025-09-30,158.42,159.69,156.06,157.32,33114725
2025-10-01,158.01,158.91,155.13,156.01,65742826
2025-10-02,154.81,158.11,150.64,153.92,39375630
2025-10-03,153.81,156.18,153.23,155.59,43876832
2025-10-06,155.67,159.55,154.78,158.64,80843497
2025-10-07,158.78,160.33,156.85,158.4,82433309
